,Players,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FG%,3P%,2P%,eFG%,FT%,Height,Weight,K-means Position,
251,Darko Milicic,0.07,0.19,0.13,0.07,0.01,0.03,0.21,0.42,0,0.42,0.42,0.53,213,113,3,
252,Darnell Jackson,0.1,0.13,0.11,0.03,0.01,0.01,0.17,0.35,0.17,0.36,0.36,0.66,206,114,0,
253,Darrell Armstrong,0.04,0.11,0.07,0.21,0.03,0,0.25,0.36,0.33,0.42,0.47,0.67,183,77,6,
254,Darrell Arthur,0.07,0.16,0.11,0.07,0.02,0.03,0.11,0.44,0.22,0.45,0.47,0.75,206,106,2,
255,Darren Collison,0.02,0.08,0.05,0.26,0.02,0,0.15,0.47,0.38,0.49,0.51,0.85,183,79,1,
256,Darrick Martin,0.03,0.03,0.03,0.21,0.02,0,0.02,0.23,0.13,0.3,0.26,0.83,180,77,7,
257,Darrun Hilliard,0.01,0.11,0.06,0.12,0.01,0,0.14,0.39,0.32,0.42,0.45,0.74,198,92,5,
259,David Andersen,0.06,0.21,0.14,0.06,0.01,0.02,0.13,0.46,0.34,0.49,0.49,0.7,208,104,2,
261,David Lee,0.1,0.24,0.17,0.14,0.01,0.01,0.13,0.53,0.03,0.54,0.54,0.76,201,102,3,
262,David Nwaba,0.04,0.13,0.09,0.05,0.02,0.01,0.1,0.58,0.2,0.61,0.59,0.64,193,94,4,
263,David Stockton,0,0.07,0.03,0.39,0.03,0,0.32,0.33,0.5,0.25,0.42,0.5,180,74,6,
265,David West,0.07,0.19,0.13,0.15,0.01,0.02,0.12,0.5,0.27,0.5,0.5,0.81,206,113,2,
266,Davis Bertans,0.03,0.11,0.07,0.08,0.01,0.03,0.11,0.44,0.4,0.56,0.59,0.82,208,95,5,
267,DeAndre' Bembry,0.04,0.13,0.09,0.12,0.01,0.01,0.13,0.48,0.06,0.58,0.49,0.38,198,95,4,
268,DeAndre Jordan,0.13,0.27,0.2,0.03,0.01,0.05,0.16,0.67,0.04,0.67,0.67,0.43,211,120,3,
269,DeAndre Liggins,0.22,0.11,0.19,0.06,0.03,0.01,0.14,0.53,0.22,0.58,0.57,0.58,198,94,4,
270,Dee Brown,0.02,0.08,0.05,0.18,0.01,0,0.27,0.32,0.28,0.3,0.4,0.64,185,72,6,
271,Dejounte Murray,0.02,0.12,0.07,0.23,0.01,0.02,0.23,0.43,0.39,0.44,0.47,0.7,196,77,1,
272,DeJuan Blair,0.12,0.22,0.17,0.07,0.02,0.01,0.16,0.5,0,0.5,0.5,0.59,201,122,3,
273,Delon Wright,0.04,0.11,0.08,0.2,0.02,0.02,0.15,0.44,0.36,0.46,0.47,0.75,196,83,1,
274,Delonte West,0.02,0.1,0.06,0.22,0.02,0.01,0.17,0.44,0.36,0.47,0.49,0.8,193,81,1,
275,DeMar DeRozan,0.03,0.11,0.07,0.14,0.01,0.01,0.1,0.45,0.26,0.46,0.46,0.82,201,100,5,
276,DeMarcus Cousins,0.1,0.28,0.19,0.19,0.02,0.03,0.15,0.46,0.24,0.47,0.48,0.74,211,122,2,
277,DeMarcus Nelson,0.04,0.11,0.08,0.11,0.03,0.01,0.2,0.44,0,0.47,0.44,0.36,193,90,4,
278,DeMarre Carroll,0.05,0.12,0.09,0.11,0.02,0.01,0.08,0.43,0.31,0.46,0.47,0.8,203,97,5,
279,Demetris Nichols,0,0.13,0.06,0.09,0,0.04,0.08,0.28,0.09,0.36,0.31,0.5,203,97,0,
280,Demetrius Jackson,0.13,0.13,0.13,0.28,0,0,0,0.75,1,0.67,0.88,0.5,185,91,4,
281,Dennis Horner,0.1,0.16,0.13,0,0,0,0.15,0.25,0,0.33,0.25,0.75,206,104,0,
282,Dennis Schroder,0.02,0.1,0.06,0.32,0.02,0,0.18,0.42,0.31,0.46,0.46,0.79,185,78,1,
283,Denzel Valentine,0.01,0.16,0.08,0.09,0.02,0.01,0.14,0.35,0.35,0.36,0.48,0.78,198,96,5,
284,DeQuan Jones,0.02,0.12,0.07,0.03,0.01,0.02,0.11,0.44,0.26,0.47,0.46,0.67,203,100,5,
285,Derek Anderson,0.03,0.13,0.08,0.18,0.02,0,0.15,0.38,0.37,0.38,0.45,0.74,196,87,1,
286,Derek Fisher,0.01,0.07,0.04,0.14,0.02,0,0.13,0.38,0.37,0.38,0.45,0.87,185,90,1,
287,DerMarr Johnson,0,0.04,0.02,0.07,0.02,0,0,0.5,0.33,0.8,0.61,0,193,83,4,
288,Deron Williams,0.01,0.1,0.06,0.4,0.02,0.01,0.17,0.44,0.35,0.48,0.5,0.83,190,90,1,
289,Derrick Brown,0.08,0.11,0.1,0.08,0.02,0.01,0.16,0.55,0.42,0.56,0.58,0.59,185,72,4,
290,Derrick Byars,0.19,0.15,0.17,0.04,0.03,0,0,0.27,0,0.6,0.27,1,201,99,0,
292,Derrick Favors,0.11,0.21,0.16,0.07,0.02,0.04,0.13,0.51,0.09,0.51,0.51,0.64,208,120,3,
293,Derrick Jones,0.08,0.08,0.08,0.03,0.01,0.02,0.09,0.56,0.27,0.59,0.57,0.71,203,100,4,
294,Derrick Rose,0.03,0.09,0.06,0.3,0.01,0.01,0.14,0.44,0.28,0.46,0.46,0.82,190,86,1,
295,Derrick Williams,0.04,0.16,0.1,0.05,0.01,0.01,0.1,0.43,0.28,0.49,0.47,0.71,190,90,5,
296,DeSagana Diop,0.12,0.19,0.16,0.06,0.01,0.05,0.22,0.43,0,0.43,0.43,0.34,213,136,3,
297,DeShawn Stevenson,0.02,0.1,0.06,0.1,0.01,0,0.11,0.32,0.3,0.37,0.42,0.66,196,95,0,
298,Desmon Farmer,0,0.13,0.07,0.05,0,0,0.21,0.29,0.25,0.5,0.39,1,196,99,0,
299,Desmond Mason,0.05,0.14,0.1,0.07,0.01,0.02,0.17,0.44,0,0.45,0.44,0.65,201,101,0,
300,Devean George,0.04,0.12,0.08,0.05,0.02,0.01,0.09,0.39,0.33,0.45,0.47,0.73,203,99,5,
301,Devin Booker,0.02,0.08,0.05,0.16,0.01,0.01,0.13,0.42,0.35,0.46,0.48,0.84,198,93,5,
302,Devin Brown,0.03,0.12,0.08,0.11,0.02,0,0.13,0.35,0.31,0.37,0.41,0.78,185,72,1,
303,Devin Ebanks,0.09,0.12,0.11,0.05,0.01,0.02,0.12,0.39,0.22,0.41,0.41,0.74,206,97,0,
304,Devin Harris,0.01,0.09,0.05,0.29,0.02,0,0.15,0.43,0.33,0.48,0.48,0.8,190,87,1,
305,Devyn Marble,0.03,0.14,0.08,0.09,0.02,0.01,0.11,0.31,0.22,0.39,0.36,0.37,198,90,0,
306,Dewayne Dedmon,0.1,0.23,0.16,0.02,0.01,0.04,0.14,0.45,0,0.45,0.45,0.63,213,111,3,
310,Diante Garrett,0.02,0.09,0.06,0.24,0.03,0,0.22,0.35,0.29,0.38,0.4,0.67,190,83,6,
311,Didier Ilunga-Mbenga,0.1,0.16,0.13,0.04,0.01,0.07,0.16,0.46,0,0.46,0.46,0.56,198,97,3,
313,Dion Waiters,0.02,0.08,0.05,0.15,0.02,0.01,0.12,0.41,0.33,0.44,0.45,0.7,193,102,5,
314,Dionte Christmas,0.07,0.14,0.11,0.06,0.01,0.01,0.08,0.36,0.29,0.42,0.43,0.75,196,92,0,
315,Dirk Nowitzki,0.03,0.22,0.12,0.13,0.01,0.02,0.08,0.47,0.38,0.5,0.51,0.89,213,111,2,
316,Domantas Sabonis,0.03,0.16,0.1,0.07,0.01,0.02,0.14,0.4,0.32,0.44,0.45,0.66,211,108,2,
317,Dominic McGuire,0.08,0.18,0.13,0.09,0.01,0.02,0.19,0.37,0.17,0.37,0.37,0.35,206,99,0,
318,Dominique Jones,0.05,0.13,0.09,0.27,0.02,0.01,0.21,0.36,0.08,0.39,0.36,0.76,203,99,6,
319,Donald Sloan,0.02,0.1,0.06,0.27,0.01,0,0.25,0.38,0.2,0.42,0.41,0.73,190,92,6,
320,Donatas Motiejunas,0.07,0.15,0.11,0.1,0.01,0.01,0.15,0.45,0.28,0.52,0.49,0.6,213,100,2,
321,Donte Greene,0.04,0.13,0.08,0.07,0.01,0.02,0.12,0.39,0.29,0.46,0.45,0.74,211,102,5,
322,Dontell Jefferson,0.02,0.16,0.09,0.18,0.03,0.01,0.19,0.5,0.5,0.5,0.52,0.67,196,88,4,
323,Donyell Marshall,0.07,0.18,0.12,0.07,0.01,0.03,0.11,0.36,0.33,0.39,0.46,0.77,206,98,2,
324,Dorell Wright,0.04,0.18,0.11,0.1,0.02,0.01,0.11,0.42,0.37,0.45,0.49,0.76,206,92,5,
325,Dorian Finney-Smith,0.04,0.12,0.08,0.06,0.02,0.01,0.11,0.37,0.29,0.48,0.46,0.75,203,99,5,
326,Doron Lamb,0.01,0.07,0.04,0.08,0.01,0,0.13,0.38,0.38,0.37,0.44,0.64,193,95,5,
327,Doug McDermott,0.02,0.11,0.06,0.05,0,0,0.08,0.44,0.37,0.49,0.52,0.79,203,102,5,
328,Dragan Bender,0.04,0.16,0.1,0.06,0.01,0.03,0.16,0.35,0.28,0.48,0.44,0.36,216,102,2,
329,Draymond Green,0.05,0.21,0.14,0.18,0.02,0.03,0.17,0.42,0.32,0.47,0.47,0.71,201,104,2,
330,Drew Gooden,0.11,0.23,0.17,0.07,0.01,0.02,0.12,0.45,0.13,0.46,0.46,0.81,208,113,2,
331,Drew Gordon,0.1,0.18,0.14,0.05,0.01,0,0.29,0.42,0,0.5,0.42,0.5,206,111,3,
333,Dwayne Jones,0.1,0.21,0.16,0.01,0,0.02,0.24,0.55,0,0.56,0.55,0.58,208,95,3,
334,Dwight Buycks,0.02,0.12,0.07,0.15,0.02,0,0.19,0.38,0.47,0.35,0.45,0.89,190,86,1,
335,Dwight Howard,0.12,0.3,0.21,0.08,0.01,0.05,0.17,0.6,0.1,0.6,0.6,0.55,211,120,3,
336,Dwight Powell,0.07,0.17,0.12,0.05,0.04,0.02,0.13,0.54,0.24,0.57,0.56,0.71,211,108,4,
337,Dwyane Wade,0.04,0.12,0.08,0.3,0.02,0.02,0.13,0.49,0.28,0.51,0.5,0.76,193,99,1,
338,Earl Barron,0.13,0.2,0.17,0.06,0.01,0.02,0.12,0.36,0.29,0.36,0.37,0.6,213,113,2,
339,Earl Boykins,0.01,0.07,0.04,0.26,0.01,0,0.14,0.39,0.31,0.41,0.42,0.85,165,61,1,
340,Earl Clark,0.06,0.19,0.12,0.05,0.01,0.03,0.11,0.39,0.23,0.42,0.42,0.61,208,102,2,
341,Earl Watson,0.03,0.09,0.06,0.29,0.02,0.01,0.3,0.37,0.27,0.41,0.41,0.75,185,88,6,
342,Ed Davis,0.12,0.23,0.17,0.06,0.01,0.04,0.12,0.55,0,0.55,0.55,0.58,208,108,3,
343,Eddie Gill,0,0.11,0.06,0.28,0.02,0.01,0.27,0.37,0.34,0.39,0.44,1,183,86,6,
344,Eddie House,0.01,0.1,0.06,0.12,0.02,0,0.1,0.39,0.37,0.42,0.49,0.91,185,81,1,
345,Eddie Jones,0.02,0.14,0.08,0.11,0.02,0.01,0.14,0.37,0.29,0.5,0.46,0.71,208,102,5,
347,Eduardo Najera,0.06,0.15,0.1,0.08,0.02,0.01,0.14,0.42,0.28,0.5,0.48,0.55,203,108,4,
348,Edwin Ubiles,0.04,0.18,0.11,0.03,0.01,0.02,0.05,0.28,0.2,0.31,0.31,1,198,92,0,
350,Ekpe Udoh,0.08,0.13,0.11,0.06,0.02,0.05,0.15,0.43,0,0.43,0.43,0.73,208,108,3,
351,Elfrid Payton,0.04,0.12,0.08,0.34,0.02,0.01,0.18,0.44,0.29,0.47,0.46,0.61,193,83,1,
353,Elijah Millsap,0.07,0.16,0.12,0.11,0.02,0.01,0.19,0.26,0.13,0.31,0.28,0.63,198,102,0,
354,Elliot Williams,0.02,0.08,0.05,0.13,0.02,0,0.1,0.38,0.38,0.36,0.47,0.43,196,86,5,
355,Elton Brand,0.08,0.2,0.14,0.09,0.02,0.04,0.12,0.47,0,0.48,0.47,0.72,203,124,3,
356,Emeka Okafor,0.12,0.25,0.18,0.05,0.01,0.04,0.13,0.53,0,0.54,0.53,0.56,208,114,3,
357,Emmanuel Mudiay,0.02,0.11,0.07,0.25,0.02,0.01,0.17,0.37,0.32,0.39,0.42,0.73,196,90,6,
358,Enes Kanter,0.14,0.21,0.18,0.05,0.01,0.02,0.14,0.53,0.38,0.53,0.53,0.77,211,111,2,
359,Eric Bledsoe,0.04,0.12,0.08,0.27,0.03,0.02,0.19,0.44,0.32,0.48,0.48,0.77,185,86,1,
361,Eric Gordon,0.01,0.07,0.04,0.16,0.02,0.01,0.13,0.43,0.37,0.47,0.51,0.82,193,97,1,
362,Eric Maynor,0.02,0.08,0.05,0.27,0.01,0,0.2,0.37,0.33,0.39,0.43,0.71,190,79,1,
364,Eric Piatkowski,0.01,0.1,0.06,0.12,0,0.01,0.15,0.36,0.42,0.14,0.53,1,201,97,5,
365,Eric Snow,0.01,0.06,0.04,0.19,0.02,0.01,0.17,0.16,0,0.17,0.16,0.46,190,86,7,
366,Erick Dampier,0.12,0.21,0.17,0.05,0.01,0.04,0.21,0.53,0.17,0.53,0.53,0.59,211,120,3,
367,Erick Green,0.05,0.09,0.07,0.14,0.01,0,0.02,0.29,0.19,0.47,0.33,0.94,193,83,0,
369,Ersan Ilyasova,0.08,0.19,0.14,0.08,0.02,0.01,0.1,0.43,0.36,0.5,0.5,0.76,208,106,2,
371,E'Twaun Moore,0.02,0.08,0.05,0.14,0.02,0.01,0.11,0.43,0.37,0.46,0.49,0.76,208,102,5,
372,Eugene Jeter,0.01,0.08,0.05,0.28,0.02,0,0.16,0.41,0.2,0.44,0.42,0.9,180,79,1,
373,Evan Fournier,0.02,0.09,0.05,0.13,0.02,0,0.13,0.45,0.38,0.49,0.53,0.78,201,92,5,
374,Evan Turner,0.02,0.17,0.1,0.2,0.01,0.01,0.15,0.43,0.31,0.45,0.45,0.78,201,99,5,
376,Fabricio Oberto,0.09,0.14,0.12,0.08,0.01,0.01,0.27,0.61,0,0.61,0.61,0.61,208,111,3,
378,Francisco Elson,0.1,0.15,0.12,0.05,0.01,0.02,0.14,0.4,0.08,0.4,0.4,0.64,213,106,2,
379,Francisco Garcia,0.02,0.1,0.06,0.1,0.02,0.02,0.1,0.41,0.35,0.47,0.5,0.75,201,88,5,
380,Frank Kaminsky,0.04,0.17,0.1,0.11,0.01,0.02,0.08,0.4,0.33,0.46,0.47,0.74,213,109,2,
381,Fred Jones,0.02,0.09,0.05,0.17,0.02,0.01,0.15,0.41,0.38,0.45,0.5,0.78,193,95,1,
382,Fred VanVleet,0.02,0.15,0.08,0.18,0.03,0.01,0.11,0.35,0.38,0.34,0.4,0.82,183,88,1,
383,Furkan Aldemir,0.15,0.21,0.18,0.08,0.02,0.02,0.16,0.51,0,0.55,0.51,0.48,208,108,3,
384,Gabe Pruitt,0.02,0.1,0.06,0.19,0.03,0,0.13,0.33,0.27,0.36,0.39,0.66,193,77,6,
385,Gal Mekel,0.01,0.06,0.03,0.36,0.02,0,0.17,0.25,0.13,0.28,0.26,0.67,190,86,6,
388,Garrett Temple,0.02,0.1,0.06,0.14,0.02,0.01,0.18,0.37,0.27,0.42,0.43,0.59,198,88,6,
389,Gary Forbes,0.04,0.12,0.08,0.12,0.02,0.01,0.14,0.43,0.34,0.46,0.48,0.7,201,99,5,
390,Gary Harris,0.03,0.07,0.05,0.1,0.02,0.01,0.11,0.43,0.33,0.5,0.49,0.78,193,95,5,
391,Gary Neal,0.01,0.1,0.05,0.12,0.01,0,0.09,0.38,0.34,0.4,0.44,0.87,193,95,5,
392,Gary Payton,0,0.14,0.07,0.18,0.02,0.04,0.29,0.36,0.11,0.54,0.39,0.6,193,81,6,
393,George Hill,0.02,0.1,0.06,0.19,0.02,0.01,0.11,0.45,0.37,0.49,0.52,0.8,190,85,1,
394,Georges Niang,0.02,0.18,0.1,0.08,0.02,0,0.12,0.25,0.08,0.33,0.26,1,203,104,0,
395,Georgios Papagiannis,0.08,0.2,0.14,0.09,0,0.04,0.18,0.55,0,0.56,0.55,0.86,216,108,3,
396,Gerald Green,0.09,0.12,0.1,0.08,0.01,0.01,0.11,0.46,0.36,0.49,0.52,0.81,201,92,5,
397,Gerald Henderson,0.03,0.12,0.07,0.12,0.01,0.01,0.1,0.43,0.29,0.45,0.46,0.79,188,79,5,
398,Gerald Wallace,0.05,0.18,0.11,0.12,0.02,0.02,0.16,0.45,0.32,0.5,0.49,0.71,201,97,4,
399,Giannis Antetokounmpo,0.05,0.2,0.12,0.18,0.02,0.03,0.16,0.48,0.26,0.51,0.51,0.73,211,100,2,
400,Gilbert Arenas,0.01,0.12,0.06,0.29,0.02,0.01,0.15,0.37,0.31,0.42,0.43,0.76,190,86,1,
401,Glen Davis,0.08,0.16,0.12,0.07,0.02,0.01,0.12,0.45,0.16,0.46,0.45,0.7,206,131,2,
402,Glen Rice,0.05,0.11,0.08,0.08,0.01,0,0.14,0.25,0.22,0.28,0.3,0.69,201,97,0,
403,Glenn Robinson,0.05,0.12,0.08,0.07,0.01,0.01,0.11,0.41,0.3,0.45,0.45,0.66,201,102,5,
404,Goran Dragic,0.03,0.09,0.06,0.27,0.02,0.01,0.17,0.46,0.36,0.5,0.52,0.74,190,86,1,
405,Gordan Giricek,0.02,0.11,0.07,0.12,0.02,0,0.15,0.41,0.36,0.44,0.47,0.89,198,95,5,
406,Gordon Hayward,0.03,0.12,0.08,0.18,0.02,0.01,0.13,0.45,0.38,0.48,0.5,0.81,203,102,5,
407,Gorgui Dieng,0.1,0.23,0.16,0.09,0.02,0.04,0.16,0.51,0.46,0.51,0.51,0.76,211,109,2,
408,Grant Hill,0.03,0.13,0.08,0.11,0.01,0.01,0.13,0.47,0.33,0.49,0.49,0.78,203,102,5,
409,Grant Jerrett,0.04,0.15,0.1,0.1,0.02,0.03,0.1,0.3,0.05,0.54,0.31,1,208,106,0,
410,Greg Buckner,0.03,0.13,0.08,0.1,0.02,0.01,0.18,0.38,0.28,0.45,0.44,0.83,193,95,5,
411,Greg Monroe,0.11,0.23,0.17,0.13,0.02,0.02,0.13,0.52,0,0.52,0.52,0.71,211,120,3,
413,Greg Smith,0.1,0.2,0.15,0.03,0.01,0.03,0.13,0.61,0,0.62,0.61,0.49,196,88,3,
414,Greg Stiemsma,0.09,0.17,0.13,0.05,0.02,0.05,0.25,0.58,0,0.58,0.58,0.64,211,117,3,
415,Greivis Vasquez,0.01,0.1,0.05,0.3,0.01,0,0.17,0.39,0.33,0.43,0.46,0.82,198,98,1,
416,Guillermo Diaz,0.13,0,0.06,0.09,0,0,0,0.25,0,0.33,0.25,0.6,188,87,7,
417,Gustavo Ayon,0.1,0.22,0.16,0.13,0.02,0.02,0.18,0.55,0,0.55,0.55,0.4,208,113,3,
418,Hakim Warrick,0.07,0.14,0.1,0.06,0.02,0.01,0.1,0.47,0.11,0.48,0.47,0.75,206,99,4,
420,Hamed Haddadi,0.15,0.26,0.21,0.07,0.01,0.07,0.21,0.45,0,0.46,0.45,0.6,218,115,3,
421,Harrison Barnes,0.04,0.13,0.09,0.07,0.01,0.01,0.09,0.45,0.37,0.48,0.5,0.76,190,92,5,
425,Hedo Turkoglu,0.02,0.15,0.09,0.18,0.02,0.01,0.15,0.41,0.36,0.45,0.5,0.67,208,99,5,
426,Henry Ellenson,0.06,0.26,0.15,0.07,0,0.01,0.17,0.36,0.29,0.45,0.44,0.5,211,111,2,
427,Henry Sims,0.17,0.16,0.17,0.07,0.01,0.02,0.15,0.49,0.06,0.49,0.49,0.74,208,112,3,
428,Henry Walker,0.02,0.14,0.08,0.09,0.01,0.01,0.15,0.48,0.32,0.54,0.56,0.8,196,83,5,
429,Hilton Armstrong,0.11,0.19,0.15,0.07,0.02,0.03,0.21,0.43,0.31,0.43,0.44,0.49,211,106,2,
430,Hollis Thompson,0.03,0.12,0.07,0.07,0.01,0.01,0.08,0.39,0.36,0.42,0.48,0.69,203,93,5,
431,Ian Clark,0.02,0.09,0.06,0.12,0.02,0.01,0.14,0.39,0.33,0.44,0.47,0.88,190,79,1,
432,Ian Mahinmi,0.09,0.2,0.15,0.04,0.02,0.04,0.16,0.54,0,0.55,0.54,0.64,211,113,3,
433,Ike Diogu,0.12,0.15,0.13,0.02,0.01,0.01,0.14,0.41,0.5,0.41,0.42,0.8,203,113,2,
434,Iman Shumpert,0.04,0.12,0.08,0.12,0.02,0.01,0.14,0.4,0.34,0.44,0.47,0.74,196,99,5,
435,Ime Udoka,0.04,0.16,0.1,0.09,0.02,0.01,0.14,0.36,0.25,0.43,0.41,0.65,198,97,0,
436,Ira Newble,0.09,0.11,0.1,0.07,0.01,0.01,0.14,0.38,0.29,0.42,0.41,0.77,201,99,0,
437,Isaiah Canaan,0.02,0.08,0.05,0.15,0.02,0,0.13,0.37,0.35,0.42,0.48,0.82,183,91,1,
438,Isaiah Taylor,0.02,0.04,0.03,0.07,0.01,0.02,0,0.14,0,0.2,0.14,0.5,190,77,7,
439,Isaiah Thomas,0.02,0.08,0.05,0.29,0.02,0,0.13,0.44,0.37,0.48,0.51,0.87,185,81,1,
440,Isaiah Whitehead,0.02,0.1,0.06,0.18,0.01,0.02,0.2,0.4,0.3,0.45,0.45,0.81,193,96,1,
441,Ish Smith,0.02,0.12,0.07,0.31,0.02,0.01,0.16,0.39,0.28,0.4,0.41,0.61,183,79,6,
442,Ivan Johnson,0.08,0.2,0.14,0.07,0.03,0.01,0.16,0.52,0.21,0.53,0.52,0.67,203,104,4,
443,Ivica Zubac,0.07,0.22,0.14,0.08,0.01,0.04,0.1,0.53,0,0.54,0.53,0.65,216,120,3,
444,J.J. Barea,0.02,0.1,0.06,0.31,0.01,0,0.15,0.42,0.36,0.46,0.48,0.8,203,94,1,
445,J.J. Hickson,0.11,0.22,0.17,0.07,0.01,0.02,0.13,0.5,0,0.5,0.5,0.59,218,122,3,
447,J.J. Redick,0.01,0.08,0.04,0.13,0.01,0,0.1,0.44,0.4,0.48,0.54,0.88,188,86,5,
448,J.R. Giddens,0.14,0.17,0.15,0.06,0.03,0,0.21,0.51,0,0.58,0.51,0.57,216,115,3,
449,J.R. Smith,0.02,0.12,0.07,0.14,0.02,0.01,0.1,0.42,0.38,0.46,0.51,0.72,188,86,1,
450,Jabari Brown,0.01,0.07,0.04,0.11,0.01,0,0.13,0.41,0.37,0.44,0.48,0.75,193,97,5,
451,Jabari Parker,0.06,0.14,0.1,0.11,0.02,0.01,0.11,0.49,0.29,0.51,0.51,0.74,203,113,4,
453,Jacque Vaughn,0.02,0.07,0.04,0.25,0.01,0,0.15,0.37,0.65,0.37,0.38,0.83,185,86,1,
454,Jae Crowder,0.04,0.14,0.09,0.09,0.02,0.01,0.09,0.43,0.33,0.51,0.51,0.78,198,106,5,
455,Jahlil Okafor,0.08,0.17,0.12,0.09,0.01,0.03,0.13,0.51,0.17,0.51,0.51,0.68,211,124,2,
457,JaKarr Sampson,0.04,0.13,0.09,0.08,0.01,0.02,0.16,0.44,0.23,0.51,0.47,0.67,211,106,2,
458,Jake Layman,0.03,0.08,0.05,0.06,0.02,0.01,0.1,0.29,0.26,0.34,0.37,0.77,206,95,0,
461,Jamaal Franklin,0.05,0.11,0.08,0.19,0.01,0.04,0.41,0.46,0.48,0.39,0.61,1,196,86,1,
463,Jamaal Tinsley,0.02,0.1,0.06,0.33,0.02,0.01,0.27,0.34,0.22,0.47,0.39,0.75,190,88,6,
464,Jamal Crawford,0.01,0.07,0.04,0.17,0.01,0,0.11,0.41,0.36,0.45,0.49,0.87,196,90,5,
465,Jamal Murray,0.03,0.11,0.07,0.14,0.01,0.01,0.13,0.4,0.33,0.47,0.48,0.88,193,93,5,
466,Jamario Moon,0.03,0.18,0.1,0.07,0.02,0.03,0.1,0.43,0.32,0.5,0.5,0.86,203,92,5,
467,Jameer Nelson,0.02,0.1,0.06,0.31,0.02,0,0.17,0.41,0.36,0.45,0.49,0.79,183,86,1,
468,James Anderson,0.03,0.12,0.08,0.12,0.01,0.01,0.15,0.4,0.34,0.46,0.49,0.79,198,96,5,
470,James Ennis,0.06,0.09,0.07,0.1,0.02,0.02,0.12,0.43,0.38,0.48,0.52,0.75,201,95,5,
471,James Harden,0.03,0.14,0.08,0.27,0.02,0.01,0.15,0.44,0.37,0.5,0.52,0.85,196,99,1,
472,James Johnson,0.05,0.15,0.1,0.15,0.02,0.04,0.18,0.47,0.25,0.51,0.49,0.66,206,113,2,
473,James Jones,0.02,0.1,0.06,0.05,0.01,0.01,0.06,0.4,0.41,0.4,0.56,0.76,190,81,5,
474,James Michael,0.11,0.13,0.12,0.05,0.02,0.04,0.12,0.54,0.38,0.54,0.54,0.53,198,90,4,
475,James Nunnally,0.01,0.13,0.07,0.07,0.02,0.01,0.13,0.33,0.32,0.34,0.41,0.67,201,92,0,
476,James Posey,0.02,0.19,0.1,0.08,0.02,0.01,0.11,0.38,0.35,0.47,0.51,0.8,203,97,5,
477,James Singleton,0.12,0.21,0.16,0.06,0.02,0.03,0.14,0.44,0.22,0.49,0.46,0.9,203,97,2,
478,James Southerland,0,0.22,0.11,0,0.01,0.04,0.04,0.25,0.37,0.17,0.33,0.5,203,97,0,
479,James White,0.01,0.06,0.03,0.15,0.03,0.04,0.25,0.52,0.42,0.57,0.6,0.58,206,131,4,
480,James Young,0.03,0.11,0.07,0.05,0.02,0.01,0.07,0.36,0.28,0.53,0.45,0.49,198,97,4,
482,JaMychal Green,0.12,0.18,0.15,0.05,0.01,0.03,0.18,0.54,0.14,0.63,0.55,0.79,206,102,3,
483,Jan Vesely,0.11,0.16,0.13,0.05,0.03,0.03,0.17,0.52,0,0.52,0.52,0.37,211,108,3,
484,Jannero Pargo,0.01,0.07,0.04,0.24,0.02,0,0.14,0.38,0.34,0.42,0.46,0.92,185,79,1,
485,Jared Cunningham,0.01,0.09,0.05,0.11,0.02,0,0.15,0.35,0.27,0.43,0.4,0.68,193,88,1,
486,Jared Dudley,0.06,0.12,0.09,0.09,0.02,0.01,0.11,0.47,0.38,0.52,0.54,0.71,201,102,4,
487,Jared Jeffries,0.1,0.11,0.11,0.08,0.02,0.02,0.17,0.39,0.19,0.41,0.4,0.54,211,104,0,
488,Jared Sullinger,0.11,0.21,0.16,0.1,0.01,0.02,0.1,0.42,0.24,0.47,0.45,0.68,206,117,2,
489,Jarell Eddie,0.02,0.14,0.07,0.03,0.01,0,0.03,0.31,0.28,0.47,0.42,0.94,201,98,5,
490,Jarell Martin,0.1,0.2,0.15,0.04,0.01,0.02,0.13,0.43,0.18,0.43,0.44,0.76,208,108,2,
492,Jarrett Jack,0.01,0.1,0.06,0.26,0.02,0,0.18,0.45,0.3,0.5,0.48,0.87,190,90,1,
493,Jarrod Uthoff,0.08,0.15,0.11,0.13,0.01,0.03,0.07,0.42,0.33,0.45,0.46,0.71,206,100,2,
494,Jarron Collins,0.13,0.09,0.11,0.04,0.01,0,0.2,0.34,0,0.35,0.34,0.63,193,88,0,
495,Jarvis Hayes,0.02,0.14,0.08,0.07,0.02,0,0.08,0.43,0.37,0.49,0.51,0.74,201,99,5,
497,Jason Collins,0.06,0.12,0.09,0.04,0.01,0.02,0.23,0.38,0.2,0.39,0.38,0.56,193,88,0,
498,Jason Hart,0.02,0.1,0.06,0.26,0.03,0.01,0.29,0.42,0.09,0.44,0.42,0.79,190,83,6,
499,Jason Kapono,0.02,0.07,0.04,0.07,0.01,0,0.09,0.39,0.34,0.43,0.46,0.75,203,96,5,
500,Jason Kidd,0.03,0.17,0.1,0.35,0.03,0.01,0.22,0.39,0.38,0.41,0.5,0.82,193,92,6,
501,Jason Maxiell,0.1,0.16,0.13,0.04,0.01,0.03,0.12,0.49,0,0.49,0.49,0.56,201,117,3,
