Players,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FG%,3P%,2P%,eFG%,FT%,Height,Weight
Jordan Adams,0.02,0.12,0.07,0.21,0.07,0.01,0.16,0.37,0.2,0.41,0.4,0.6,196,94
Jordan Clarkson,0.03,0.1,0.06,0.17,0.02,0,0.12,0.44,0.33,0.48,0.49,0.81,196,87
Jordan Crawford,0.03,0.1,0.06,0.22,0.01,0,0.14,0.41,0.31,0.46,0.46,0.82,196,95
Jordan Farmar,0.02,0.09,0.05,0.25,0.02,0,0.16,0.41,0.39,0.41,0.51,0.79,188,81
Jordan Hamilton,0.04,0.17,0.11,0.1,0.02,0.01,0.11,0.41,0.37,0.43,0.5,0.66,178,72
Jordan Hill,0.14,0.21,0.18,0.05,0.01,0.03,0.14,0.49,0.03,0.49,0.49,0.7,208,106
Jordan McRae,0.02,0.09,0.06,0.17,0.01,0.01,0.13,0.42,0.43,0.44,0.48,0.76,198,83
Jordan Mickey,0.11,0.15,0.13,0.05,0.01,0.09,0.11,0.4,0,0.41,0.4,0.54,203,106
Jordan Williams,0.12,0.17,0.14,0.03,0.02,0.02,0.11,0.51,,0.51,0.51,0.65,188,83
Jorge Garbajosa,0.03,0.21,0.12,0.06,0.02,0,0.04,0.32,0.38,0.22,0.44,,206,111
Jorge Gutierrez,0.02,0.13,0.07,0.25,0.02,0,0.21,0.52,0.05,0.58,0.53,0.74,190,86
Jose Calderon,0.02,0.1,0.06,0.33,0.01,0,0.17,0.46,0.4,0.5,0.54,0.89,190,90
Josh Akognon,0,0.12,0.06,0.19,0,0,0,0.5,0.5,0.5,0.63,,180,83
Josh Boone,0.13,0.21,0.16,0.05,0.01,0.03,0.12,0.53,,0.53,0.53,0.39,208,107
Josh Childress,0.06,0.12,0.09,0.09,0.02,0.01,0.27,0.48,0.23,0.52,0.49,0.45,203,95
Josh Davis,0.14,0.1,0.12,0.07,0.03,0.01,0.09,0.37,0.31,0.43,0.44,0.5,188,77
Josh Harrellson,0.11,0.18,0.14,0.03,0.02,0.03,0.15,0.44,0.31,0.58,0.51,0.61,208,124
Josh Howard,0.04,0.14,0.09,0.08,0.02,0.01,0.09,0.41,0.28,0.44,0.44,0.74,201,95
Josh Huestis,0.09,0.16,0.13,0.08,0,0.05,0.09,0.48,0.58,0.37,0.61,0,201,104
Josh McRoberts,0.07,0.18,0.13,0.15,0.01,0.02,0.16,0.47,0.29,0.51,0.51,0.69,208,108
Josh Powell,0.08,0.19,0.14,0.05,0.01,0.02,0.16,0.41,0.15,0.41,0.41,0.73,206,102
Josh Richardson,0.02,0.09,0.06,0.11,0.02,0.02,0.11,0.42,0.4,0.45,0.51,0.72,198,90
Josh Selby,0.01,0.08,0.04,0.15,0.02,0,0.24,0.31,0.15,0.36,0.33,0.71,188,83
Josh Smith,0.07,0.19,0.13,0.18,0.02,0.04,0.15,0.43,0.27,0.46,0.46,0.57,213,106
Jrue Holiday,0.03,0.1,0.06,0.32,0.02,0.01,0.16,0.44,0.37,0.47,0.49,0.79,193,92
Juan Carlos,0.02,0.09,0.06,0.13,0.01,0,0.14,0.4,0.36,0.46,0.5,0.85,203,92
Juan Dixon,0.02,0.1,0.06,0.23,0.02,0,0.18,0.41,0.4,0.42,0.47,0.76,190,74
Juan Hernangomez,0.06,0.19,0.12,0.05,0.02,0.01,0.11,0.45,0.41,0.5,0.55,0.75,206,104
Julian Wright,0.07,0.14,0.1,0.09,0.02,0.02,0.16,0.5,0.26,0.52,0.51,0.58,203,102
Julius Randle,0.05,0.19,0.12,0.1,0.01,0.01,0.17,0.42,0.27,0.43,0.42,0.48,206,113
Julyan Stone,0.05,0.11,0.08,0.17,0.02,0.01,0.27,0.61,0.22,0.7,0.64,0.71,198,90
Justin Anderson,0.05,0.17,0.11,0.08,0.02,0.02,0.12,0.42,0.29,0.53,0.49,0.79,198,103
Justin Dentmon,0,0.07,0.03,0.12,0.01,0,0.13,0.26,0.11,0.52,0.28,0.67,180,83
Justin Hamilton,0.07,0.09,0.08,0.04,0.04,0.02,0.24,0.46,0.32,0.53,0.51,0.88,213,117
Justin Harper,0.04,0.09,0.06,0.05,0.01,0.01,0.19,0.37,0.29,0.33,0.47,0.25,208,102
Justin Holiday,0.01,0.11,0.06,0.11,0.02,0.02,0.13,0.38,0.32,0.44,0.45,0.74,198,83
Justin Williams,0.19,0.19,0.19,0,0.01,0.02,0.11,0.41,,0.41,0.41,0.29,208,102
Justise Winslow,0.04,0.14,0.09,0.11,0.02,0.01,0.14,0.39,0.24,0.43,0.41,0.65,201,102
Jusuf Nurkic,0.12,0.25,0.19,0.12,0.02,0.05,0.18,0.48,0,0.48,0.48,0.6,213,127
Juwan Howard,0.07,0.16,0.12,0.1,0.01,0.01,0.15,0.46,0,0.46,0.46,0.79,206,108
K.J. McDaniels,0.04,0.13,0.09,0.07,0.01,0.03,0.14,0.41,0.25,0.49,0.46,0.77,198,90
Kalin Lucas,0,0,0,0,0.09,0,0,0,,0,0,,185,88
Kaniel Dickens,0,0.1,0.05,0.13,0,0.07,0,0.33,,0.33,0.33,,203,97
Kareem Rush,0.01,0.1,0.06,0.1,0.02,0.02,0.15,0.37,0.34,0.4,0.44,0.86,198,97
Karl-Anthony Towns,0.11,0.28,0.19,0.12,0.01,0.04,0.12,0.54,0.35,0.57,0.57,0.82,213,110
Kasib Powell,0.03,0.14,0.09,0.1,0.02,0.01,0.05,0.37,0.24,0.44,0.41,0.67,201,97
Kawhi Leonard,0.05,0.18,0.12,0.12,0.03,0.02,0.09,0.5,0.38,0.54,0.55,0.83,201,104
Kay Felder,0.01,0.11,0.06,0.23,0.02,0.02,0.15,0.39,0.32,0.4,0.42,0.71,175,79
Keith Appling,0,0.04,0.02,0.05,0.02,0,0.25,0.25,0,0.4,0.25,1,185,83
Keith Benson,0.25,0.13,0.19,0,0,0,0,0,,0,0,,208,106
Keith Bogans,0.02,0.12,0.07,0.08,0.01,0,0.11,0.4,0.36,0.49,0.53,0.77,196,97
Keith Langford,0,0.23,0.12,0,0,0,0,0.25,,0.25,0.25,,193,97
Kelenna Azubuike,0.04,0.1,0.07,0.05,0.02,0.01,0.14,0.46,0.38,0.49,0.52,0.73,196,99
Kelly Olynyk,0.07,0.18,0.13,0.13,0.02,0.02,0.14,0.48,0.36,0.53,0.54,0.74,213,107
Kelly Oubre,0.04,0.16,0.1,0.03,0.02,0.01,0.11,0.42,0.3,0.51,0.48,0.7,201,92
Kemba Walker,0.02,0.11,0.06,0.29,0.02,0.01,0.11,0.41,0.34,0.44,0.46,0.82,203,95
